norm,unif,tri,skew
4.71,2.98,0.67,2.63
3.75,2.79,0.68,2.99
2,2.46,0.89,5.5
2.99,3.87,1.04,6.23
8.49,3.25,1.35,4.34
5.38,2.58,1.34,3.6
4.87,3.75,1.1,4.71
5.26,3.17,1.04,2.34
2.51,2.29,0.71,5.15
3.5,3.67,1.2,3.73
0.97,2.87,0.74,3.01
5.69,2.37,0.23,3.82
4.38,2.99,0.8,2.87
6.85,3.27,0.78,2.76
5.72,3.53,0.65,4.75
4.5,2.2,0.87,2.45
4.09,2.06,0.65,3.17
5.84,2.99,0.21,3.59
5.89,2.9,1.14,3.66
5.04,3.08,1.13,1.19
2.16,3.23,0.39,2.67
1.59,2.07,1.6,1.27
8.6,2.73,0.71,5.62
2.36,2.89,1.44,1.45
6.03,2.25,0.83,5.47
2.53,2.18,1.89,5.67
4.87,3.5,0.28,1.62
5.18,2.8,1.27,5.82
4.98,3.72,1.78,4.5
2.54,3.77,1.9,1.35
8.59,2.87,1.19,2.71
2.29,2.28,0.8,1.74
7.97,3.15,0.34,4.25
4.29,3.15,0.35,3.7
2.93,2.23,0.62,4.53
2.73,3.23,1.66,3.31
7.75,3.26,0.67,5.37
5.42,3.67,0.54,4.14
3.83,3.62,1.01,3.33
2.16,2.83,1.35,4.1
6.23,2.46,1.62,1.04
5.9,3.37,1.88,5.21
3.29,3.75,1.48,2.25
6.31,2.58,0.74,1.28
2.81,2.91,0.83,7.94
3.65,2.59,1.1,1.68
5.41,3.42,1.11,2.67
3.81,3.11,1.21,6.87
6.15,3.87,1.57,4.48
3.47,2.93,1.05,3.08
5.47,3.36,1.57,4.54
2.84,2.51,1.35,3.51
3.27,3.08,0.59,2.4
2.88,3.83,1.29,1.28
6.89,3.38,0.62,3.29
5.8,3.46,0.95,5.95
6.84,3.59,1.09,3.12
7.38,3.32,0.54,0.99
7.54,2.47,0.81,4.34
7.54,2.54,0.88,2.2
3.25,2.03,0.92,1.63
3.49,3.69,1.14,2.74
9.15,3.28,0.98,1.99
6.79,3.39,1.39,2.28
4.25,2.25,1.4,2.57
8.19,2.93,1.27,4.76
4.98,3.11,1.16,3.82
6.61,3.42,1.32,1.88
6.39,3.09,0.31,4.14
3.34,3.58,1.55,1.64
3.62,2.48,1.29,4.74
4.02,3.3,1.41,2.67
5.11,2.06,1.58,1.52
11.37,2.24,1.09,7.8
5.92,3.38,1.07,3.49
3.7,3.4,0.83,2.28
5.15,3.33,0.93,3.23
3.49,2.3,1.08,3.36
3.11,2.15,1.19,5.04
5.03,3.28,0.96,0.77
5.32,3.12,0.87,1.78
4.49,3.15,1.29,3.98
3.32,2.75,1.06,5.37
8.99,3.08,0.8,3.83
4.63,3.97,1.32,1.17
3,2.69,1,1.81
6.76,2.93,1.68,5.15
5.82,3.37,1.13,3.23
3.11,2.81,1.58,6.17
5.52,2.68,0.35,4.6
7.94,2.39,1.29,4.27
6.11,2.11,1.83,1.78
6.19,2.75,0.7,2.57
3.43,2.16,0.84,1.8
5.41,2.62,0.85,4.78
4.84,3.08,1.29,2.53
6.34,3.89,0.25,4.5
5.02,3.5,0.7,4.28
2.01,3.36,0.72,4.06
5.99,2.29,0.99,2.81
6.01,3.27,0.56,4.43
3.73,3.88,1.25,2.78
3.67,3.42,1.04,3.24
10.44,2.2,0.96,1.76
5.9,3.41,0.36,3.74
6.87,2.92,0.93,3.44
4.42,3.67,0.97,1.24
5.85,2.97,1.6,2.16
6.54,3.99,1.88,5.5
4.3,2.39,0.9,0.91
5.52,3.36,1,3.06
5.53,3.22,0.56,2.11
7.02,2.26,0.95,2.93
1.34,2.24,0.58,2.95
2.97,3.73,0.78,4.73
5.54,3.5,0.65,8.85
7.11,2.31,1.56,4.57
1.71,2.19,0.52,4.7
3.32,2.15,1.05,1.8
2.1,2.53,1.38,4.38
2.72,3.28,1.82,4.65
7.42,3.22,0.71,3.19
8.24,3.28,0.65,2.28
8.26,2.43,1.01,2.26
